model_id,experiment,access,utterance,alpha_hat,kl_bets_vs_logprob,mae_bets_vs_logprob,kl_bets_vs_rsa,mae_bets_vs_rsa,kl_rsa_vs_logprob,mae_rsa_vs_logprob
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,2,1,0.1,0.6440405478390195,0.16159008693612842,17.571227992215583,0.3375,3.6068948715787945,0.48643201156378935
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,2,2,0.1,1.3535986925165733,0.3242421908024852,6.788357126162845,0.1333333333333333,2.4668826417095597,0.4575755241358185
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,1,0.1,1.0158325917596562,0.22385890527084906,13.272175251666262,0.2583333333333333,3.334973702607438,0.48219223860418237
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,2,0.1,1.27517399486797,0.30872864201288513,7.67844203272367,0.14999999999999997,2.494439350174973,0.4587286420128851
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,3,0.1,1.4496908602014764,0.3826785928516133,0.0,0.0,1.4496908602014764,0.3826785928516133
meta-llama--Llama-3.2-3B-Instruct,exps_some,1,some,0.1,0.9547975074593946,0.2200559477584423,13.458530968271813,0.26250000000000007,3.355609353552479,0.48255594775844235
meta-llama--Llama-3.2-3B-Instruct,exps_some,2,some,0.1,2.5784171304313794,0.4064723253544772,3.828486969964421,0.07916666666666666,3.550091343673975,0.4856389920211438
meta-llama--Llama-3.2-3B-Instruct,exps_some,3,some,0.1,1.3184383993658368,0.3604715588723362,2.99754320719778,0.0625,1.8704333793945012,0.4229715588723362
microsoft--Phi-4-mini-instruct,exps_numerical,1,1,0.1,0.2010900290264791,0.15300779285490335,0.1392071652829162,0.09756230160877946,0.100697295290808,0.10065371154332081
microsoft--Phi-4-mini-instruct,exps_numerical,2,1,0.1,0.07543211715591325,0.08919965775956293,0.700568572872677,0.19628021262374154,0.2216195624089687,0.10708055486417861
microsoft--Phi-4-mini-instruct,exps_numerical,2,2,0.1,0.05735484257375872,0.030701617425868598,0.06614473691727013,0.06856251203278105,0.11011936691012124,0.055500863619503474
microsoft--Phi-4-mini-instruct,exps_numerical,3,1,0.1,0.5245965975829405,0.23873154402666727,1.6905492073161943,0.34861359665870084,0.21091001328538989,0.11238844495430128
microsoft--Phi-4-mini-instruct,exps_numerical,3,2,0.1,0.1961929362853018,0.11952334368715559,0.1546070239669784,0.051968360020506324,0.44697640585687715,0.16937615387660593
microsoft--Phi-4-mini-instruct,exps_numerical,3,3,0.1,0.893478945544128,0.21110035299934288,0.338745904598583,0.14859728604566252,0.3390849545357598,0.12188430669684301
microsoft--Phi-4-mini-instruct,exps_some,1,some,0.1,0.11226439660490534,0.10572799197945626,0.09751173503363063,0.09045164500329196,0.17277614575140177,0.11169418134135942
microsoft--Phi-4-mini-instruct,exps_some,2,some,0.1,0.5165101455960561,0.17419315136456875,0.056472047317851284,0.02862169129080104,0.5014084801693995,0.16399141901298075
microsoft--Phi-4-mini-instruct,exps_some,3,some,0.1,0.5867834796296588,0.22682249693997605,0.09480374059628141,0.05985005734875805,0.6558537733022919,0.26006966371410883
